"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINECODE","INSPDATE","ACTION","VIOLCODE","SCORE","CURRENTGRADE","GRADEDATE","RECORDDATE"
"40356068","TOV KOSHER KITCHEN","4","97-22","63 ROAD","11374","7188967788","50","2013-01-17 00:00:00","D","02B","13","A","2013-01-17 00:00:00","2013-12-26 06:01:07.740000000"
"30191841","DJ REYNOLDS PUB AND RESTAURANT","1","351       ","WEST   57 STREET                                  ","10019","2122452912","03","2013-07-22 00:00:00","D","10B","11","A","2013-07-22 00:00:00","2013-12-26 06:01:07.740000000"
"40361322","CARVEL ICE CREAM","4","265-15    ","HILLSIDE AVENUE                                   ","11004","7183430392","43","2013-09-18 00:00:00","D","04L","10","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40361521","GLORIOUS FOOD","1","522","EAST 74 STREET","10021","2127372140","03","2013-12-19 00:00:00","U","08A","25","Z","2013-12-19 00:00:00","2013-12-26 06:01:07.740000000"
"40361618","SAL'S DELI","4","129-08","20 AVENUE","11356","7186619498","27","2013-08-27 00:00:00","D","06D","9","A","2013-08-27 00:00:00","2013-12-26 06:01:07.740000000"
"40361998","STEVE CHU'S DELI & GROCERY","4","3406","10 STREET","11106","7187268888","27","2013-03-13 00:00:00","D","06F","12","A","2013-03-13 00:00:00","2013-12-26 06:01:07.740000000"
"40360045","SEUDA FOODS","3","705","KINGS HIGHWAY","11223","7183751500","50","2013-10-10 00:00:00","D","08A","13","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40361618","SAL'S DELI","4","129-08","20 AVENUE","11356","7186619498","27","2013-08-27 00:00:00","D","10F","9","A","2013-08-27 00:00:00","2013-12-26 06:01:07.740000000"
"40362715","THE COUNTRY CAFE","1","60","WALL STREET","10005","3474279132","83","2013-09-18 00:00:00","D","06F","13","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40362869","SHASHEMENE INT'L RESTAURA","3","195","EAST   56 STREET","11203","3474300871","17","2013-05-08 00:00:00","D","10D","7","A","2013-05-08 00:00:00","2013-12-26 06:01:07.740000000"
"40362921","LEE'S DELI","2","214","EAST  188 STREET","10458","7182953158","27","2013-06-24 00:00:00","U","04M","5","A","2013-06-24 00:00:00","2013-12-26 06:01:07.740000000"
"40363151","OLIVE'S","1","120","PRINCE STREET","10012","2129410111","08","2013-09-18 00:00:00","D","04N","13","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40363426","LEXLER DELI","1","405","LEXINGTON AVENUE","10174","2126870820","70","2013-09-13 00:00:00","D","10F","3","A","2013-09-13 00:00:00","2013-12-26 06:01:07.740000000"
"40363427","BAGELS N BUNS","5","2491","VICTORY BOULEVARD","10314","7187611900","27","2013-12-05 00:00:00","D","02G","10","A","2013-12-05 00:00:00","2013-12-26 06:01:07.740000000"
"40363298","CAFE METRO","1","625","8 AVENUE","10018","2127149342","03","2012-12-07 00:00:00","D","10E","4","A","2012-12-07 00:00:00","2013-12-26 06:01:07.740000000"
"40363685","BERKELY","1","437","MADISON AVENUE","10022","2128328121","03","2013-06-07 00:00:00","D","10B","5","A","2013-06-07 00:00:00","2013-12-26 06:01:07.740000000"
"40363804","WINTER CATERERS","5","584","RICHMOND ROAD","10304","7184427203","03","2013-07-10 00:00:00","D","08A","13","A","2013-07-10 00:00:00","2013-12-26 06:01:07.740000000"
